name,quadrant,ring,isNew,description
Puppeteer,Languages-and-Frameworks,Adopt,FALSE,"<p><strong>Puppeteer</strong> provides an API to control a (headless) Chrome.</p><p>Developers are able to generate screenshots and PDFs of pages, crawl their contents and automate keyboard input, form submission and more.</p><p>Puppeteer can help at static page rendering and offers some nice-to-have features, which can ease the daily life of developers.</p><p>We use Puppeteer in (at least) two website projects for the processing and rendering of static pages.</p>"
GraphQL,Languages-and-Frameworks,Adopt,FALSE,"<p><strong>GraphQL</strong> is a language for querying databases from client-side applications and offers an alternative to the usage of RESTful APIs.</p><p>Developers are able to make precise data requests and obtain no more and no less, but exactly what they need.</p><p>This reduces network traffic and makes the developer's life easier, since he knows what data he can expect and work with.</p><p>We could already evaluate GraphQL in a strategic project and decided that we can profit from it. We also use it in some of the latest customer projects.</p>"
Node.js,Languages-and-Frameworks,Adopt,FALSE,"<p><strong>Node.JS</strong> is JavaScript running on your machine. You do not need a browser for that. This allows us to run JS on the server side. I.e. AWS Lambdas. We should adopt it, as it is already being used in multiple projects and seems to become the new AWS Lambda standard</p>"
Java beyond 8,Languages-and-Frameworks,Trial,FALSE,"<p><strong>Java</strong> is the language of choice for us for building more complex applications or where a traditional Java-based CMS is used.</p><p>Java 8 is already aged but it is still the version we use in most active projects. LTS will eventually run out and we will have to update to more current versions. Besides that many new interresting features were introduced which could help us for simplicity, clarity or effectivness.</p><p>Since we know Java in general very well, we should directly use it in real projects to identify the real pros and cons of post version 8 features</p>"
RxJS,Languages-and-Frameworks,Trial,FALSE,"<p>RxJS is a library for reactive programming using Observables, to make it easier to compose asynchronous or callback-based code.</p>"
Jest Testing Framework,Languages-and-Frameworks,Trial,FALSE,"<p><strong>Jest</strong> is an open source Javascript testing framework focusing on simplicity. It works out of the box, is mostly config-free and does not require additional assertion libraries. Jest is used by Facebook for react, but can be used for any JavaScript, Typescript or Nodejs project.</p><p>With Jest it’s easier and faster to write tests than with Mocha and Chai.<p>We could profit from reduced efforts in setting-up and maintaining the testing framework and more efficiently writing tests.</p><p>Jest already is used and proven beneficial in existing VI projects like Neoperl.</p>"
Node.js Express,Languages-and-Frameworks,Trial,FALSE,"<p><strong>Node.js Express</strong> is a minimal and flexible Node.js web application framework that provides a robust set of features to develop web and mobile applications. It facilitates the rapid development of Node based Web applications.</p><p><strong>Node.js</strong> is lighter than Java and it is more handy once it comes to JSON. Also it gives VI more resource flexibility since we have javascript developers in Front-End team- we can use our Front-End team as well when resource needed for a Node.js project.</p><p>We already have AWS Lambda microservice written in Node.js and also tried a Node.js express application before. Setting up a Node.JS express application is stright forward with having javascript knowledge.</p>"
ES Modules,Languages-and-Frameworks,Assess,FALSE,"<p><strong>ES Modules</strong>: Currently, most of the browsers already support the use of ES modules. And, of course, Node.js couldn’t stay back and now fully supports ECMAScript modules as they are currently specified and provides limited interoperability between them and the existing module format, CommonJS. ECMAScript modules are the official standard format to package JavaScript code for reuse. Modules are defined using a variety of import and export statements.</p><p><strong>Dynamic imports</strong> This feature solves a lot of headaches and waste of money related to the app’s performance. It helps to, and allows to, load modules dynamically. In other words, on-demand by using promises or the async/await syntax</p>"
Vue.js,Languages-and-Frameworks,Hold,TRUE,"<p><strong>Vue.js</strong>is a progressive framework for building user interfaces. It is designed from the ground up to be incrementally adoptable, and can easily scale between a library and a framework depending on different use cases. It consists of an approachable core library that focuses on the view layer only, and an ecosystem of supporting libraries that helps you tackle complexity in large Single-Page Applications.</p><p>We think Vue.js is good match for enhancing existing pages with interactive features. For more complex application we opt for React though and for re-usable interactive features consider using Biotope Elements.</p><p>We have succesfully used Vue.js in several projects.</p><p>We evaluated Vue.js as a mixture of Stencil and React. Both Stencil and React are more actively used in our projects, thus we see no advantage in Vue.js.</p>"
React,Languages-and-Frameworks,Adopt,FALSE,"<p><strong>React</strong> is a library to build user interfaces. React can be used as a base in the development of single-page or mobile applications. However React is only concerned with rendering data to the DOM and so creating React applications usually requires the use of additional libraries for state management, routing, and interaction with an API. Redux, React Router and axios are respective examples of such libraries. React combines a Component Architecture with State Management and promotes functional programming, with high-order functions, immutability, pure functions.</p><p>We are convinced that using the React ecosystem is the best way to implement full-scale applications with complex business logic. For simply enhancing existing pages with smaller interactive features you might consider Vue.js instead. You can also combine React with reusable web components build with Biotope Elements.</p><p>React has proven its usefulness in several projects already.</p>"
